id,nama_rumah,lokasi,luas_tanah,jumlah_kamar,jumlah_lantai,tahun_bangun,harga,material_digunakan,material_utama
1,Rumah_1,Kota Cirebon,236,4,2,2017,203331351,Cat Dinding Dulux:3140kg; Batu Bata Merah:1362pcs; Multipleks 18mm:3381lbr,Bata Ringan JUMA
2,Rumah_2,Kabupaten Sumedang,125,2,3,2003,1023835819,Pasir:4828m3; Pipa PVC Wavin 3:813btg; Pipa PVC Wavin 2 1/2:3616btg; Triplek Meranti Campur:4228lbr; Stop Kran Kuningan:444pcs; Pintu Kayu Solid:2032pcs,Kayu
3,Rumah_3,Kabupaten Purwakarta,302,3,3,1995,576976657,Multipleks 18mm:3763lbr; Keramik Kamar Mandi:3360m2; Pasir:262m3; Pipa PPR 1/2 inci:2793btg; Genteng Metal:591m2; Batu Alam Andesit:3945m2,Keramik Asia Tile
4,Rumah_4,Kabupaten Bandung,210,1,3,2000,1022277464,Atap Baja Ringan:547m2; Batu Alam Andesit:1286m2; Kabel NYY 4x10:3077m; Cat Dinding Dulux:612kg; Cat Dinding Nobrand:4191kg; Batu Split:1982m3,Cat Dinding Nobrand
5,Rumah_5,Kota Bekasi,86,6,3,2019,1978963562,Plafon Gypsum:4552m2; Batu Alam Andesit:1515m2; Cat Eksterior Jotun:4050kg; Aluminium Kusen:1054m; Hollow Galvanis 4x4:4741btg; Keramik 60x60 Polished:2703m2,Granite Tile
6,Rumah_6,Bandung Barat,31,2,2,2015,1561107334,Bata Ringan Walbric:4781pcs; Pasir:2692m3; Genteng Metal:55m2; Besi Beton 13mm:1768kg; Cat Dinding Nobrand:4293kg,Hollow Galvanis 4x4
7,Rumah_7,Kota Bogor,178,4,2,2014,1071265305,Waterproofing Coating:1502kg; Kaca:1891m2; Hollow Galvanis 4x4:4315btg,Keramik 60x60 Polished
8,Rumah_8,Kabupaten Ciamis,270,3,3,2008,386395190,Batu Split:4898m3; Batu Bata Merah:2874pcs; Atap Baja Ringan:143m2; Bata Ringan Walbric:4467pcs; Pipa PVC Wavin 3:2735btg; Kayu:2162kg,Plafon Gypsum
9,Rumah_9,Kabupaten Cianjur,337,2,3,2010,265468815,Besi Beton 13mm:3969kg; Kabel NYM 2x1.5:1421m; Bata Ringan JUMA:4170pcs; Saklar + Stop Kontak Panasonic:2000set,Genteng Metal
10,Rumah_10,Kabupaten Cirebon,241,5,2,2020,1956427014,Batu Alam Andesit:3426m2; Batu Bata Merah:1396pcs; Cat Eksterior Jotun:1217kg; Genteng Beton:3627pcs,Kabel NYM 2x1.5
11,Rumah_11,Kabupaten Garut,121,5,1,1999,641054534,Granite Tile:3315m2; Besi Beton 16mm:3676kg; Cat Eksterior Jotun:4189kg; Kaca:2163m2; Genteng Metal:1511m2,Batu Alam Andesit
12,Rumah_12,Kabupaten Subang,196,1,3,2008,629968117,Keramik Asia Tile:293m2; Pipa PVC Wavin 3:2871btg; Plafon Gypsum:2150m2; Cat Dinding Nobrand:3586kg; Waterproofing Coating:4417kg,Pintu Kayu Solid
13,Rumah_13,Kabupaten Bandung Barat,280,3,1,2004,1150117963,Granite Tile:505m2; Kaca:3201m2; Aluminium Kusen:2064m; Pintu Kayu Solid:2169pcs; Besi Beton 16mm:61kg; Plafon GRC:2756m2,Besi Beton 13mm
14,Rumah_14,Kabupaten Bekasi,335,1,1,2023,1133443450,Semen:3508sak; Granite Tile:3568m2; Besi Beton 19mm:1470kg,Bata Ringan Walbric
15,Rumah_15,Bandung Timur,155,5,3,2018,1659373772,Hollow Galvanis 4x4:3338btg; Kabel NYM 2x1.5:2338m; Saklar + Stop Kontak Panasonic:3625set,Atap Baja Ringan
16,Rumah_16,Kabupaten Bogor,203,6,1,2022,1757956561,Plafon GRC:573m2; Batu Alam Andesit:2905m2; Keramik 60x60 Polished:4087m2; Multipleks 18mm:336lbr; Keramik Asia Tile:3888m2,Pipa PVC Wavin 3
17,Rumah_17,Kota Banjar,310,3,3,2016,349797599,Genteng Beton:2444pcs; Cat Dinding Dulux:2278kg; Atap Baja Ringan:128m2; Keramik 60x60 Polished:2385m2; Hollow Galvanis 4x4:3963btg; Pintu Kayu Solid:4338pcs,Cat Dinding Dulux
18,Rumah_18,Kota Sukabumi,172,5,1,2010,877841796,Plafon Gypsum:4364m2; Atap Baja Ringan:3417m2; Pasir:1823m3; Semen Mortar MU-380:977sak; Pintu Kayu Solid:3229pcs; Kaca:4464m2,Semen
